repository_name,repository_url,team_url,last_update,watchers_count,forks_count,open_issues_count,language
mod_statuspage,https://github.com/yahoo/mod_statuspage,https://api.github.com/repos/yahoo/mod_statuspage/teams,2015-08-17T23:01:32Z,26,5,1,JavaScript
intl-format-cache,https://github.com/yahoo/intl-format-cache,https://api.github.com/repos/yahoo/intl-format-cache/teams,2015-06-14T22:36:43Z,26,4,0,JavaScript
yui3-cookbook,https://github.com/yahoo/yui3-cookbook,https://api.github.com/repos/yahoo/yui3-cookbook/teams,2015-04-15T02:17:39Z,26,20,0,JavaScript
pngjs-image,https://github.com/yahoo/pngjs-image,https://api.github.com/repos/yahoo/pngjs-image/teams,2015-08-22T09:45:31Z,24,7,0,JavaScript
scrollable,https://github.com/yahoo/scrollable,https://api.github.com/repos/yahoo/scrollable/teams,2015-08-22T09:34:35Z,24,7,1,JavaScript
process-watcher,https://github.com/yahoo/process-watcher,https://api.github.com/repos/yahoo/process-watcher/teams,2015-08-17T23:01:07Z,23,3,0,JavaScript
secure-handlebars,https://github.com/yahoo/secure-handlebars,https://api.github.com/repos/yahoo/secure-handlebars/teams,2015-09-07T09:04:10Z,22,6,6,JavaScript
csptester,https://github.com/yahoo/csptester,https://api.github.com/repos/yahoo/csptester/teams,2015-06-29T00:36:12Z,22,2,0,HTML
storage-lru,https://github.com/yahoo/storage-lru,https://api.github.com/repos/yahoo/storage-lru/teams,2015-08-27T10:30:35Z,21,7,1,JavaScript
firefoxos-webbing,https://github.com/yahoo/firefoxos-webbing,https://api.github.com/repos/yahoo/firefoxos-webbing/teams,2015-07-18T18:37:09Z,21,1,0,JavaScript
PyIOCe,https://github.com/yahoo/PyIOCe,https://api.github.com/repos/yahoo/PyIOCe/teams,2015-06-30T09:27:06Z,21,4,0,Python
locator,https://github.com/yahoo/locator,https://api.github.com/repos/yahoo/locator/teams,2015-06-26T09:17:39Z,20,14,2,JavaScript
jsx-test,https://github.com/yahoo/jsx-test,https://api.github.com/repos/yahoo/jsx-test/teams,2015-09-05T00:28:09Z,19,14,0,JavaScript
cocoapods-blacklist,https://github.com/yahoo/cocoapods-blacklist,https://api.github.com/repos/yahoo/cocoapods-blacklist/teams,2015-09-02T14:44:39Z,19,2,0,Ruby
cm3,https://github.com/yahoo/cm3,https://api.github.com/repos/yahoo/cm3/teams,2015-08-11T04:02:38Z,19,12,0,Perl
fluxible-immutable-utils,https://github.com/yahoo/fluxible-immutable-utils,https://api.github.com/repos/yahoo/fluxible-immutable-utils/teams,2015-09-10T08:09:24Z,19,10,5,JavaScript
express-yui,https://github.com/yahoo/express-yui,https://api.github.com/repos/yahoo/express-yui/teams,2015-05-16T08:06:23Z,17,17,6,JavaScript
mockaccino,https://github.com/yahoo/mockaccino,https://api.github.com/repos/yahoo/mockaccino/teams,2015-08-13T09:36:06Z,17,5,0,JavaScript
context-parser,https://github.com/yahoo/context-parser,https://api.github.com/repos/yahoo/context-parser/teams,2015-08-16T04:35:21Z,17,7,2,HTML
fumble,https://github.com/yahoo/fumble,https://api.github.com/repos/yahoo/fumble/teams,2015-09-03T22:31:20Z,16,1,1,JavaScript
fluxible-addons-react,https://github.com/yahoo/fluxible-addons-react,https://api.github.com/repos/yahoo/fluxible-addons-react/teams,2015-09-03T15:00:23Z,16,15,2,JavaScript
acss-site,https://github.com/yahoo/acss-site,https://api.github.com/repos/yahoo/acss-site/teams,2015-08-22T09:36:13Z,16,5,3,JavaScript
react-cartographer,https://github.com/yahoo/react-cartographer,https://api.github.com/repos/yahoo/react-cartographer/teams,2015-09-03T17:09:33Z,16,1,0,JavaScript
pure-release,https://github.com/yahoo/pure-release,https://api.github.com/repos/yahoo/pure-release/teams,2015-09-10T23:32:31Z,16,7,0,CSS
yos-social-java,https://github.com/yahoo/yos-social-java,https://api.github.com/repos/yahoo/yos-social-java/teams,2014-11-24T19:50:25Z,16,8,2,Java
ycb-java,https://github.com/yahoo/ycb-java,https://api.github.com/repos/yahoo/ycb-java/teams,2015-09-04T23:02:16Z,15,3,0,Java
YMPromptKit,https://github.com/yahoo/YMPromptKit,https://api.github.com/repos/yahoo/YMPromptKit/teams,2015-09-05T01:03:25Z,15,2,1,Objective-C
druid-dashboard,https://github.com/yahoo/druid-dashboard,https://api.github.com/repos/yahoo/druid-dashboard/teams,2015-08-22T09:34:04Z,15,9,8,JavaScript
